Date,Forecast,Lower,Upper,Dia_horizonte,Ancho_IC,Ancho_IC_%
2023-12-07,457.0098201678272,341.52540035700133,572.494239978653,98,230.96883962165168,50.53914148646375
2023-12-08,457.0098201678272,340.95286732870494,573.0667730069495,99,232.11390567824452,50.78969760277921
2023-12-09,457.0098201678272,340.3831448934225,573.6364954422318,100,233.25335054880924,51.03902372670064
2023-12-10,457.0098201678272,339.8161920610884,574.203448274566,101,234.3872562134776,51.28713779660223
2023-12-11,457.0098201678272,339.2519688283951,574.7676715072593,102,235.51570267886416,51.53405731902566
2023-12-12,457.0098201678272,338.69043614585485,575.3292041897995,103,236.63876804394465,51.77979938309512
2023-12-13,457.0098201678272,338.13155588625995,575.8880844493943,104,237.7565285631344,52.02438067431972
2023-12-14,457.0098201678272,337.5752908144726,576.4443495211817,105,238.8690587067091,52.26781748781448
2023-12-15,457.0098201678272,337.02160455847456,576.9980357771798,106,239.97643121870522,52.51012574096963
2023-12-16,457.0098201678272,336.470461581614,577.5491787540403,107,241.0787171724263,52.75132098559616
2023-12-17,457.0098201678272,335.9218271559895,578.0978131796649,108,242.17598602367536,52.99141841957387
2023-12-18,457.0098201678272,335.37566733691364,578.6439729987407,109,243.26830566182701,53.23043289802655
2023-12-19,457.0098201678272,334.8319489384053,579.1876913972491,110,244.3557424588438,53.46837894404749
2023-12-20,457.0098201678272,334.2906395096579,579.7290008259964,111,245.4383613163385,53.70527075899736
2023-12-21,457.0098201678272,333.7517073124392,580.2679330232152,112,246.51622571077598,53.941122232394946
2023-12-22,457.0098201678272,333.215121299375,580.8045190362793,113,247.5893977369043,54.17594695142051
2023-12-23,457.0098201678272,332.6808510930781,581.3387892425762,114,248.65793814949814,54.409758210049795
2023-12-24,457.0098201678272,332.1488669660792,581.8707733695751,115,249.7219064034959,54.64256901783659
2023-12-25,457.0098201678272,331.619139821526,582.4005005141283,116,250.78136069260233,54.87439210835955
2023-12-26,457.0098201678272,331.0916411746117,582.9279991610426,117,251.83635798643093,55.10523994734935
2023-12-27,457.0098201678272,330.5663431347013,583.453297200953,118,252.8869540662517,55.3351247405109
2023-12-28,457.0098201678272,330.0432183881237,583.9764219475306,119,253.93320355940693,55.56405844105392
2023-12-29,457.0098201678272,329.5222401815988,584.4974001540555,120,254.9751599724567,55.79205275694568
2023-12-30,457.0098201678272,329.0033823062721,585.0162580293822,121,256.01287572311014,56.019119157897926
2023-12-31,457.0098201678272,328.4866190823293,585.533021253325,122,257.04640217099575,56.24526888209993
2024-01-01,457.0098201678272,327.971925344165,586.0477149914893,123,258.0757896473243,56.47051294270907
2024-01-02,457.0098201678272,327.4592764260826,586.5603639095717,124,259.1010874834891,56.694862134109
2024-01-03,457.0098201678272,326.94864814850064,587.0709921871537,125,260.12234403865307,56.91832703794607
2024-01-04,457.0098201678272,326.4400168046451,587.5796235310092,126,261.13960672636415,57.14091802895312
2024-01-05,457.0098201678272,325.93335914770654,588.0862811879479,127,262.1529220402413,57.36264528056994
2024-01-06,457.0098201678272,325.4286523784418,588.5909879572125,128,263.1623355787707,57.58351877036907
2024-01-07,457.0098201678272,324.92587413320285,589.0937662024514,129,264.1678920692486,57.803548285294724
2024-01-08,457.0098201678272,324.42500247237336,589.5946378632809,130,265.16963539090756,58.022743426723224
2024-01-09,457.0098201678272,323.9260158691977,590.0936244664566,131,266.1676085972589,58.241113615351736
2024-01-10,457.0098201678272,323.4288931989853,590.590747136669,132,267.16185393768376,58.4586680959228
2024-01-11,457.0098201678272,322.9336137286747,591.0860266069797,133,268.152412878305,58.675415941791286
2024-01-12,457.0098201678272,322.4401571067441,591.5794832289102,134,269.13932612216615,58.89136605933991
2024-01-13,457.0098201678272,321.9485033534536,592.0711369822008,135,270.12263362874717,59.10652719224947
2024-01-14,457.0098201678272,321.458632851405,592.5610074842493,136,271.1023746328443,59.320907925630074
2024-01-15,457.0098201678272,320.97052633640897,593.0491139992454,137,272.0785876628364,59.53451669001802
2024-01-16,457.0098201678272,320.48416488864484,593.5354754470095,138,273.05131055836466,59.74736176524442
2024-01-17,457.0098201678272,319.99952992410385,594.0201104115505,139,274.02058048744664,59.959451284179934
2024-01-18,457.0098201678272,319.5166031863031,594.5030371493513,140,274.98643396304817,60.17079323636092
2024-01-19,457.0098201678272,319.03536673826056,594.9842735973938,141,275.9489068591332,60.381395471501435
2024-01-20,457.0098201678272,318.555802954722,595.4638373809323,142,276.9080344262103,60.591265702894894
2024-01-21,457.0098201678272,318.07789451462827,595.9417458210261,143,277.8638513063978,60.80041151071068
2024-01-22,457.0098201678272,317.6016243938155,596.4180159418388,144,278.8163915480233,61.00884034518862
2024-01-23,457.0098201678272,317.1269758579392,596.8926644777151,145,279.7656886197759,61.21655952973568
2024-01-24,457.0098201678272,316.6539324556136,597.3657078800408,146,280.7117754244272,61.42357626392836
2024-01-25,457.0098201678272,316.1824780117576,597.8371623238968,147,281.6546843121392,61.62989762642462
2024-01-26,457.0098201678272,315.7125966211422,598.3070437145121,148,282.5944470933699,61.83553057778782
2024-01-27,457.0098201678272,315.24427264212886,598.7753676935255,149,283.5310950513966,62.040481963226924
2024-01-28,457.0098201678272,314.777490690594,599.2421496450604,150,284.4646589544664,62.24475851525527
2024-01-29,457.0098201678272,314.31223563403285,599.7074047016215,151,285.39516906758865,62.44836685627091
2024-01-30,457.0098201678272,313.84849258583466,600.1711477498197,152,286.3226551639851,62.651313501062
2024-01-31,457.0098201678272,313.3862468997256,600.6333934359287,153,287.2471465362031,62.85360485923862
2024-02-01,457.0098201678272,312.9254841643708,601.0941561712835,154,288.16867200691274,63.055247237595225
2024-02-02,457.0098201678272,312.46619019813227,601.5534501375221,155,289.0872599393898,63.25624684240453
2024-02-03,457.0098201678272,312.00835104397567,602.0112892916786,156,290.00293824770296,63.4566097816466
2024-02-04,457.0098201678272,311.5519529645218,602.4676873711326,157,290.9157344066108,63.656342067174435
2024-02-05,457.0098201678272,311.09698243723676,602.9226578984176,158,291.8256754611808,63.85544961681874
2024-02-06,457.0098201678272,310.6434261497576,603.3762141858967,159,292.73278803613914,64.0539382564338
2024-02-07,457.0098201678272,310.19127099534705,603.8283693403073,160,293.63709834496024,64.25181372188638
2024-02-08,457.0098201678272,309.74050406847425,604.2791362671801,161,294.53863219870584,64.44908166098986
2024-02-09,457.0098201678272,309.29111266051683,604.7285276751375,162,295.4374150146206,64.64574763538505
